Issue Log,,,,,,,,
,ID,Date,Raised By,Severity,Area,Summary,Notes,Active
,81,19/09/2005,MC,Trivial,,Use UL/LI for buttons in MTM (right-hand navigation),,Inactive
,82,19/09/2005,MC,Trivial,,Use title attribute on an A HREF tag only to expand text,,Inactive
,83,19/09/2005,MC/AV,Trivial,,Accessibility: Skip to navigation (navigation by Tab key),,Inactive
,84,19/09/2005,MC,Trivial,,Place site navigation before in-page tabbed navigation,,Inactive
,85,20/09/2005,AV,Trivial,,Tables - using TH in a case of row subheader ,,Inactive
,86,30/09/2005,MC,Minor,Templates,Layout seems to scroll horizontally at 800x600 screen resolution,,Active
,87,19/10/2005,MC,Minor,Templates,IE5 hack for top of MTM,Miles,Active
,88,19/10/2005,MC,Trivial,Templates,Class naming for service/ MTM,Miles,Active
,89,19/10/2005,MC,Minor,Templates,"Meta navigation (IE, Mozilla, Opera)",MC - ?,Active
,90,19/10/2005,MC,Minor,Tables,Left border for table cells,Satyan,Active
,91,19/10/2005,MC,Minor,Tables,Test button in table cells,Satyan,Active
,92,19/10/2005,MC,Trivial,Templates,"First, Last, Current naming convention",MC,Active
,93,02/11/2005,MC,Major,Templates,Page templates break with certain panel combinations,Sidebar is moved out of position,Inactive
,94,02/11/2005,MC,Major,Templates,IE5 Mac,Navigation does not render,Active
,95,02/11/2005,MC,Major,Panels,Panels - issues with layout,Slight height differences due to spacing,Active
,96,02/11/2005,MC,Major,Text,Page text formatting needs close checking with design,Font sizes and spacing,Active
,97,02/11/2005,MC,Major,Navigation,Main navigation is incorrectly positioned,IE5 PC,Active
,98,02/11/2005,MC,Major,Templates,This page template needs to be built,Includes a lot of unique content,Active
,99,02/11/2005,MC,Minor,sIFR,sIFR quirks,Reported by Vish. Need specific details,Active
,100,02/11/2005,MC,Minor,Templates,"""Hidden"" H2 tags",There's a possibility this is slightly underhand behaviour - needs investigation,Active
